酒蔵,元データ,処理,理由,統合先
白牡丹酒造,【藝陽男山】生もと純米酒 夏仕込み ７２０ｍｌ瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【藝陽男山】生もと純米酒 寒仕込み おりがらみ ７２０ｍｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,生酛純米酒 夏仕込み おりがらみ
白牡丹酒造,【藝陽男山】生もと純米酒 寒仕込み 生酒 ７２０ｍｌ瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【藝陽男山】生もと純米酒 寒仕込み ７２０ｍｌ瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【藝陽男山】生もと純米酒 春仕込み おりがらみ ７２０ｍｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,生酛純米酒 夏仕込み おりがらみ
白牡丹酒造,【藝陽男山】生もと純米酒 春仕込み 生酒 ７２０ｍｌ瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【藝陽男山】生もと純米酒 春仕込み ７２０ｍｌ瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,ひろしま一途な純米酒 紅甘萬 180ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,ひろしま一途な純米酒 紅甘萬(べにかんまん)
白牡丹酒造,大吟醸 令和7酒造年度 全国新酒鑑評会 出品酒 500ml瓶【万年蔵】,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,大吟醸 令和７酒造年度 全国新酒鑑評会 出品酒 500ml瓶【天保蔵】,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,大吟醸 令和７酒造年度 全国新酒鑑評会 出品酒 500ml瓶【長春蔵】,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,白牡丹 長期低温熟成 大吟醸 FLUSSO 500ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,長期低温熟成 大吟醸 FLUSSO
