酒蔵,商品名,容量ml,JAN,商品コード,価格円税込,販売状態,在庫状態,販売チャネル,業務卸可否,輸出可否,要冷蔵,確認日,主出典ID,出典種別,URL,出典数,代替URL,備考
白牡丹酒造,【日本酒 白牡丹】純米吟醸 生貯蔵酒１８０ml瓶詰,180,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_5DFC29961744,official_ec,https://hakubotan.shop-pro.jp/?pid=108332305,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米吟醸 萌えいぶき 1.8L瓶,1800,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_4A3F76B5B2D8,official_ec,https://hakubotan.shop-pro.jp/?pid=185829180,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米吟醸 萌えいぶき 720ml瓶,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_7BE921225A4B,official_ec,https://hakubotan.shop-pro.jp/?pid=180157052,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米吟醸１．８Ｌ瓶詰,1800,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_E802411F2FEC,official_ec,https://hakubotan.shop-pro.jp/?pid=108332194,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米吟醸７２０ml瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_01780568726E,official_ec,https://hakubotan.shop-pro.jp/?pid=108332209,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 令和一号酵母 720ml瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_D14EEC208C7C,official_ec,https://hakubotan.shop-pro.jp/?pid=163672217,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 原酒 万年蔵 杜氏鹿島正 １．８Ｌ瓶詰,1800,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_A311EF873343,official_ec,https://hakubotan.shop-pro.jp/?pid=151363758,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 原酒 万年蔵 杜氏鹿島正 ７２０ml瓶詰,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_18A10379D9EE,official_ec,https://hakubotan.shop-pro.jp/?pid=151363495,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 悠星 ７２０ml瓶【ユウセイ】,720,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_8BF6F0E13345,official_ec,https://hakubotan.shop-pro.jp/?pid=174251074,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 龍王井 1.8L瓶詰【輸出専用】 - 白牡丹酒造,1800,,,,不明,不明,輸出限定,未確認,確認済み,不明,2026-09-05,CSKU_2EF648AC38BB,official_catalog,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e9%be%8d%e7%8e%8b%e4%ba%95-300ml%e7%93%b6%e8%a9%b0%e3%80%90%e8%bc%b8%e5%87%ba/,1,,公式商品カタログの限定区分
