酒蔵,ブランド,シリーズ,主要銘柄,商品名,分類,甘辛目安,日本酒度,精米歩合,アルコール度数,飲み方,使用米,容量,参考価格,流通区分,備考,出典URL
福美人酒造,福美人,,,蔵内限定 甘い口どけ豊醇原酒,その他,甘口,-5.0,70%,19度以上20度未満,ロック,,720ml,"1,116円",限定流通,,https://www.fukubijin.co.jp/SHOP/2203.html
福美人酒造,福美人,,,大吟醸,大吟醸,やや辛口,+2.5,40%,16度,要確認,山田錦（兵庫県産１００）,300ml,"1,020円",一般流通,,https://www.fukubijin.co.jp/SHOP/1157.html
福美人酒造,福美人,,,上撰 さけパック,普通酒・上撰,やや甘口,-2.0,70%,15度,燗酒,,"2,000ml","2,035円",一般流通,,https://www.fukubijin.co.jp/SHOP/2268.html
福美人酒造,福美人,,,本醸造 舞,本醸造,不明,,60%,15度,燗酒,,"1,800ml","2,008円",一般流通,,https://www.fukubijin.co.jp/SHOP/3010.html
福美人酒造,福美人,,,特別純米酒「ひめあま」,特別純米,甘口,-16.0,60%,14度,冷酒,国産米,720ml,"1,180～1,500円",一般流通,,https://www.fukubijin.co.jp/SHOP/2080.html
賀茂泉酒造,賀茂泉,,○,純米酒 一 (はじめ),純米,不明,,75%,15度,冷酒 / ぬる燗 / 燗酒,酒造用米（国産米100%）,"300ml / 720ml / 1,800ml","550～2,420円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188377558
賀茂泉酒造,賀茂泉,,○,造賀純米酒,純米,不明,,,,常温 / ぬる燗,東広島市造賀地区産山田錦100%,"720ml / 1,800ml","1,595～3,080円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188377419
賀茂泉酒造,賀茂泉,,○,山吹色の酒,純米吟醸,不明,,60%,15度,常温 / ぬる燗 / ロック,広島八反・新千本,"720ml / 1,800ml","2,057～3,520円",一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,○,朱泉本仕込,純米吟醸,中口,+1.0,60%,16度,常温 / ぬる燗 / ロック,広島八反・中生新千本,"180ml / 720ml / 1,800ml","471～3,190円",一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,○,純米大吟醸「壽」,純米大吟醸,不明,,40%,16度,要確認,東広島市造賀地区産山田錦100%,"720ml / 1,800ml","11,000～22,000円",一般流通,2026-09-06現行性を公式情報で再確認,https://online.kamoizumi.com/?pid=141742792
賀茂泉酒造,COKUN,,,COKUN,その他,不明,,,8度,ロック,,500ml,"1,650円",一般流通,,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,,NAO,その他,不明,,,8度,冷酒 / 燗酒,国産米100%,500ml,"1,760円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=151187707
賀茂泉酒造,ROCK HOPPER,,,Rock Hopper Moon Walk,その他,不明,,,,要確認,,"720ml / 1,800ml","1,980～3,960円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=193198460
